Directors,Film ID
Tony Richardson,e96a144c-3f01-4f2f-a3ee-fc54bcd81df9
Elia Kazan,7b22a71b-6b22-4b6c-a7ee-4f3a9bc6a3f6
Joseph L. Mankiewicz,47a31f2d-67c9-4aa1-a336-6f30e4dc6c57
Ralph Nelson,cec49f67-0474-42fe-bb36-d75224995e60
Peter Glenville,5a35a08e-eafc-46f1-add2-8413867d1bcb
Robert Stevenson,ef2ab197-e570-481a-8a5c-ecc33bbc59ce
Robert Wise,457971a1-ae06-42ce-9ddd-17e9be9b32af
John Schlesinger,39e6d744-7f92-4cbf-9300-55a43bf7a5e3
David Lean,cb1ae708-873b-4b2e-b0ea-57967782d566
Stanley Kramer,85e8bfd9-99a2-40a6-b331-a333fa851c36
Fred Zinnemann,d9e00e8e-315d-4507-9eb2-bf89bde7779a
Lewis Gilbert,cb3bba47-5662-4b6d-b6fe-fab2b97102ac
Norman Jewison,c73f5f10-891e-4204-b848-e5a9e422ad9f
Robert Wise,dc277c9f-c5fd-46fa-8b70-25dadbc444cb
Mike Nichols,34a129cf-eb80-461b-a6da-c8f46df67c60
Norman Jewison,467a1595-1c69-442d-ab43-92f68b932ddc
Arthur Penn,88b6470e-a145-47f2-b74a-3ba3266f2e4f
Richard Fleischer,0d5b2439-d817-4a04-ada3-446556084561
Mike Nichols,da0bc2bf-7a48-44b7-be73-8e61624bc7b1
Stanley Kramer,2c26535d-eada-47be-8af1-75bbe5eeed78
Carol Reed,bc77f25e-71fa-4563-be5d-47648fe69070
William Wyler,83010621-a7cc-4e5e-b770-7bdb7c643cd2
Anthony Harvey,15a28039-7a34-4e2d-89ea-ff8d61b669ff
Paul Newman,55fcf55d-06e6-4b54-8133-aca96742158c
Franco Zeffirelli,b89ed64f-55e8-4c3e-80ee-e7ba748531ab
John Schlesinger,bc91f715-a16b-4de7-8aa5-7b0b2f875bdb
Charles Jarrott,56358a21-e826-4674-a4b5-aefbf11395a0
George Roy Hill,174d890a-717f-4f2d-bff6-03b91ede8466
Gene Kelly,204c5d1d-ac8b-41fe-ba95-77c323121c43
Costa-Gavras,65fd73b8-d854-42fb-97eb-2ed7866c831d
Franklin J. Schaffner,542831fe-9ee4-4997-badb-98cabd43c3d2
George Seaton,5bbfb550-a96e-49a4-90fc-a8351617e709
 Henry Hathaway,5bbfb550-a96e-49a4-90fc-a8351617e709
Bob Rafelson,0d283411-d75d-413e-b31c-ece555cf661f
 Dennis Hopper,0d283411-d75d-413e-b31c-ece555cf661f
Arthur Hiller,0a7e8fe6-3614-4599-bdf3-1bc14f161ffa
Robert Altman,f65882a5-46f8-42f7-9302-bfc76fd0989d
William Friedkin,02e62c41-fdb4-401f-a2a5-615fec952f9e
Stanley Kubrick,b19db2e9-f854-4631-99b6-9c4ab7d08077
Norman Jewison,adaf460e-b6f6-4acf-9419-b396d719a400
Peter Bogdanovich,c4c3d7c5-c66c-4148-b205-812f47fc9c4f
Franklin J. Schaffner,85261a3e-21e0-4862-9850-5cef43307bc0
Francis Ford Coppola,fa8d4d3c-41e1-488f-a30d-715a0ff09764
Bob Fosse,e353fab3-80df-4ebd-afcd-93f70b158537
John Boorman,5ab0fdff-d86a-4320-822c-33d1184f43e6
George Roy Hill,bb6ef738-b9e4-49a2-b8fb-ab2429add488
George Lucas,a2b35269-b14a-4126-a4bc-0530348b2457
Ingmar Bergman,1f294125-03d2-4cca-b9b0-b767bdb0b816
William Friedkin,0cb63313-b7e2-49db-8bf9-17e72d61183e
Melvin Frank,db331a83-f319-4566-99a6-3c1d77937cf9
Roman Polanski,fc910341-bca7-4172-abff-116ca3e6d80e
Francis Ford Coppola,51f09950-d054-4bed-b422-cde53c0ad5d3
Bob Fosse,4a3d4e06-2109-4585-a4c1-53f25ae82ea3
John Guillermin,7fb8aa38-464b-4846-85e0-e7e6cb0caaf8
 Irwin Allen,7fb8aa38-464b-4846-85e0-e7e6cb0caaf8
Milos Forman,93bd4453-5aa2-48b8-b2a6-c3f564fda13c
Stanley Kubrick,96bd883e-8ef5-4ad1-999f-2892326d1548
Sidney Lumet,25ec6295-c9bc-4535-8b76-c4c4b6932b27
Steven Spielberg,49107a35-a34e-44c0-8324-843c7535719f
Robert Altman,2db901c8-7162-466f-a4d6-22aba1a726bf
John G. Avildsen,9cc026b8-3a23-4db9-a703-c2353be1ee4d
Alan J. Pakula,048b181b-f1c1-4e3e-bb57-008c90e68339
Sidney Lumet,09e7097f-0026-4147-9f4d-a17b04a57690
Martin Scorsese,5fca34f6-fdf8-4e6f-a845-ba51eed1fc2e
Woody Allen,50965bec-a059-4941-954a-07fddfa5a5e5
Herbert Ross,e437045d-d8e6-466b-98f5-bf81d91883eb
Michael Cimino,dcfb372f-430d-4998-a7f2-f23a78863ed4
Warren Beatty,8f0dd2a2-3322-4372-af45-cf1940585d86
 Buck Henry,8f0dd2a2-3322-4372-af45-cf1940585d86
Alan Parker,01c95862-5a79-4087-9ae7-6f179d49ecd6
Robert Benton,40ddb2ef-ead7-4129-9a4a-005bcb9385db
Francis Ford Coppola,7d84dcde-add0-4d6e-a416-5f418b0ee4a5
Peter Yates,73d83b0b-79ba-47da-b7f2-ef0c2f78860b
Robert Redford,c7fdd5fc-4ab9-4195-8462-51c65f7cddd0
Michael Apted,e30d2afc-0324-4610-8579-2dc703156dd3
David Lynch,0887d632-30bd-4e84-9d29-6bbfdd5984b8
Martin Scorsese,06fac879-3ee3-4c83-b676-16c49688b302
Roman Polanski,4e06a3f7-c35d-40a9-9a49-45738b7c505b
Hugh Hudson,dd41a9d6-8ccd-493a-8208-c515dd3053c1
Louis Malle,554cc033-c312-486f-82d5-f751453452de
Mark Rydell,f8b74df8-6eda-4e06-80f3-1222e3caa4a3
Steven Spielberg,f70968f4-9afa-42d1-b73f-7bc1cbdbc218
Richard Attenborough,f4628a4a-c61d-4c53-8ee3-c44d18c7d400
Sydney Pollack,70a9622e-6db7-4e2c-aee8-10e95dada668
Sidney Lumet,7652b232-b5ee-4956-8681-297fc00d41ab
James L. Brooks,a9656df0-28f7-4c29-b304-676781b0aee1
Lawrence Kasdan,c8242d31-95c1-4c16-84b1-ec015f01c19a
